      %Previsao,VTMP-925,VTMP-850,VTMP-500,TEMP-850,TEMP-500,TEMP-250,PSNM-000,UMES-925,UMES-850,UMES-500,AGPL-925,ZGEO-850,ZGEO-500,ZGEO-250,UVEL-850,UVEL-500,UVEL-250,VVEL-850,VVEL-500,VVEL-250,PREC-000,PREV-000
      120,    0.212,    0.155,   -0.275,    0.158,   -0.274,    0.167,   -0.709,    0.033,   -0.004,   -0.004,    0.200,   -4.356,   -9.846,   -9.278,    0.425,    0.143,   -0.632,    0.043,    0.053,    0.221,      NaN,      NaN
      120,    0.197,    0.110,   -0.409,    0.114,   -0.409,    0.189,   -0.626,    0.048,   -0.013,    0.006,    0.273,   -3.871,  -10.741,  -10.402,    0.426,    0.116,   -0.663,    0.014,    0.084,    0.189,      NaN,      NaN
      120,    0.336,    0.246,   -0.580,    0.243,   -0.581,    0.113,   -0.513,    0.070,    0.029,    0.009,    0.384,   -2.070,  -10.262,  -13.040,    0.128,    0.021,   -0.781,    0.037,    0.093,    0.165,      NaN,      NaN
      120,    0.186,    0.126,   -0.695,    0.124,   -0.695,    0.025,   -0.482,    0.023,    0.021,    0.006,    0.306,   -2.408,  -12.644,  -17.403,    0.288,    0.139,   -0.738,   -0.016,   -0.010,    0.262,      NaN,      NaN
      120,    0.317,    0.219,   -0.547,    0.210,   -0.549,   -0.050,   -0.608,    0.037,    0.065,    0.012,    0.352,   -2.781,  -10.438,  -15.250,    0.237,    0.003,   -0.829,   -0.054,    0.001,    0.158,      NaN,      NaN
      120,    0.390,    0.233,   -0.523,    0.230,   -0.525,    0.036,   -0.725,    0.053,    0.030,    0.014,    0.376,   -3.524,  -10.417,  -13.680,    0.170,    0.067,   -0.979,   -0.126,    0.016,    0.138,      NaN,      NaN
      120,    0.492,    0.371,   -0.381,    0.362,   -0.382,   -0.002,   -0.717,    0.089,    0.064,    0.008,    0.386,   -2.787,   -7.842,  -11.077,    0.136,   -0.043,   -1.097,    0.028,   -0.021,    0.109,      NaN,      NaN
      120,    0.403,    0.255,   -0.470,    0.248,   -0.472,    0.028,   -0.514,    0.033,    0.058,    0.015,    0.348,   -1.697,   -8.359,  -12.326,    0.172,   -0.349,   -1.346,   -0.025,   -0.041,    0.272,      NaN,      NaN
      120,    0.351,    0.308,   -0.405,    0.295,   -0.409,   -0.009,   -0.371,    0.036,    0.086,    0.028,    0.409,   -0.738,   -6.647,  -10.589,    0.032,   -0.263,   -1.171,   -0.045,    0.014,    0.053,      NaN,      NaN
      120,    0.313,    0.242,   -0.482,    0.239,   -0.486,    0.015,   -0.322,    0.013,    0.027,    0.028,    0.397,   -0.816,   -7.486,  -11.419,   -0.029,   -0.178,   -1.332,   -0.111,    0.072,    0.036,      NaN,      NaN
      120,    0.332,    0.293,   -0.520,    0.285,   -0.524,   -0.055,   -0.470,    0.066,    0.055,    0.025,    0.428,   -1.739,   -8.792,  -13.384,   -0.008,   -0.352,   -1.217,   -0.054,    0.087,    0.033,      NaN,      NaN
      120,    0.186,    0.160,   -0.584,    0.162,   -0.587,   -0.034,   -0.422,   -0.007,    0.002,    0.021,    0.317,   -1.917,  -10.312,  -14.982,    0.001,   -0.214,   -1.118,   -0.016,    0.153,   -0.158,      NaN,      NaN
      120,    0.236,    0.264,   -0.693,    0.255,   -0.697,   -0.109,   -0.580,    0.008,    0.065,    0.027,    0.387,   -2.876,  -11.411,  -18.880,    0.094,   -0.091,   -1.028,    0.020,    0.081,   -0.245,      NaN,      NaN
      120,    0.200,    0.185,   -0.713,    0.187,   -0.717,   -0.126,   -0.264,   -0.040,   -0.002,    0.027,    0.335,   -0.859,   -9.876,  -17.039,    0.007,   -0.071,   -1.021,   -0.016,    0.048,   -0.181,      NaN,      NaN
      120,    0.250,    0.287,   -0.734,    0.290,   -0.740,   -0.075,   -0.383,   -0.016,   -0.010,    0.036,    0.308,   -1.301,  -10.251,  -17.585,   -0.071,    0.046,   -0.781,    0.028,    0.048,   -0.212,      NaN,      NaN
      120,    0.137,    0.181,   -0.762,    0.194,   -0.767,    0.031,   -0.422,   -0.085,   -0.061,    0.036,    0.234,   -2.239,  -12.285,  -18.900,    0.098,    0.064,   -0.832,   -0.131,    0.139,   -0.191,      NaN,      NaN
      120,    0.234,    0.317,   -0.767,    0.321,   -0.774,    0.012,   -0.287,   -0.063,   -0.011,    0.045,    0.322,   -0.707,   -9.297,  -17.519,    0.009,    0.006,   -0.668,   -0.190,    0.093,   -0.269,      NaN,      NaN
      120,    0.270,    0.226,   -0.620,    0.235,   -0.626,    0.090,   -0.349,   -0.045,   -0.038,    0.040,    0.331,   -1.368,   -9.292,  -13.984,    0.187,    0.102,   -0.723,   -0.192,    0.110,   -0.152,      NaN,      NaN
      120,    0.293,    0.302,   -0.639,    0.304,   -0.645,   -0.023,   -0.413,   -0.013,   -0.001,    0.040,    0.341,   -1.589,   -8.940,  -14.812,    0.036,    0.022,   -0.516,   -0.084,    0.027,   -0.159,      NaN,      NaN
      120,    0.133,    0.095,   -0.595,    0.105,   -0.601,    0.053,   -0.520,   -0.074,   -0.040,    0.036,    0.205,   -3.131,  -11.948,  -17.150,    0.247,    0.190,   -0.673,   -0.070,    0.064,   -0.201,      NaN,      NaN
      120,    0.177,    0.196,   -0.509,    0.206,   -0.515,   -0.012,   -0.502,   -0.059,   -0.041,    0.039,    0.208,   -2.671,  -10.040,  -15.249,    0.218,    0.239,   -0.441,   -0.119,    0.051,   -0.052,      NaN,      NaN
      120,    0.163,    0.164,   -0.621,    0.180,   -0.626,    0.044,   -0.546,   -0.056,   -0.076,    0.037,    0.216,   -3.038,  -11.206,  -17.039,    0.301,    0.201,   -0.577,   -0.127,    0.058,    0.021,      NaN,      NaN
      120,    0.138,    0.152,   -0.639,    0.164,   -0.643,    0.185,   -0.665,   -0.044,   -0.059,    0.031,    0.167,   -3.823,  -12.376,  -17.277,    0.330,    0.185,   -0.460,    0.051,   -0.082,    0.012,      NaN,      NaN
      120,    0.115,    0.058,   -0.655,    0.075,   -0.658,    0.297,   -0.618,   -0.091,   -0.081,    0.020,    0.112,   -3.638,  -13.120,  -15.935,    0.293,    0.069,   -0.583,    0.048,   -0.070,   -0.015,      NaN,      NaN
      120,    0.213,    0.181,   -0.496,    0.194,   -0.499,    0.229,   -0.544,   -0.090,   -0.058,    0.023,    0.107,   -2.569,  -10.238,  -11.302,    0.242,    0.055,   -0.592,    0.073,    0.001,   -0.002,      NaN,      NaN
      120,    0.251,    0.101,   -0.477,    0.113,   -0.480,    0.357,   -0.629,   -0.042,   -0.054,    0.020,    0.200,   -3.071,  -10.634,   -9.558,    0.212,    0.158,   -0.662,    0.035,   -0.056,   -0.149,      NaN,      NaN
      120,    0.316,    0.206,   -0.421,    0.211,   -0.424,    0.324,   -0.862,   -0.024,   -0.016,    0.021,    0.219,   -4.572,  -11.578,  -10.626,    0.331,    0.103,   -0.449,    0.159,   -0.050,   -0.123,      NaN,      NaN
      120,    0.252,    0.087,   -0.493,    0.091,   -0.494,    0.362,   -0.950,   -0.072,   -0.004,    0.010,    0.195,   -5.601,  -14.335,  -14.062,    0.414,    0.276,   -0.412,   -0.040,    0.025,    0.004,      NaN,      NaN
      120,    0.252,    0.153,   -0.447,    0.152,   -0.447,    0.261,   -0.999,   -0.081,    0.023,    0.001,    0.199,   -5.848,  -12.845,  -13.550,    0.595,    0.416,   -0.224,   -0.110,   -0.043,   -0.059,      NaN,      NaN
      120,    0.253,    0.058,   -0.519,    0.058,   -0.521,    0.279,   -1.041,   -0.069,    0.021,    0.013,    0.290,   -6.153,  -14.132,  -14.681,    0.505,    0.281,   -0.373,   -0.073,    0.053,   -0.062,      NaN,      NaN
      120,    0.285,    0.062,   -0.500,    0.055,   -0.502,    0.284,   -1.262,   -0.037,    0.058,    0.019,    0.359,   -7.487,  -15.312,  -15.938,    0.438,    0.420,   -0.264,   -0.026,    0.006,    0.011,      NaN,      NaN
      120,    0.142,   -0.049,   -0.487,   -0.043,   -0.490,    0.306,   -1.184,   -0.105,   -0.016,    0.023,    0.261,   -7.589,  -15.571,  -15.368,    0.413,    0.383,   -0.631,   -0.209,    0.064,   -0.027,      NaN,      NaN
      120,    0.201,    0.094,   -0.349,    0.100,   -0.353,    0.256,   -1.307,   -0.107,   -0.017,    0.031,    0.274,   -8.150,  -14.150,  -12.870,    0.512,    0.329,   -0.627,   -0.166,    0.088,   -0.032,      NaN,      NaN
      120,    0.141,    0.096,   -0.382,    0.108,   -0.387,    0.345,   -1.221,   -0.092,   -0.057,    0.038,    0.282,   -7.487,  -14.368,  -12.730,    0.445,    0.085,   -0.713,   -0.115,    0.021,    0.054,      NaN,      NaN
      120,    0.310,    0.283,   -0.398,    0.289,   -0.404,    0.313,   -1.428,   -0.065,   -0.024,    0.038,    0.349,   -8.186,  -14.315,  -13.988,    0.389,    0.217,   -0.717,   -0.048,    0.039,    0.079,      NaN,      NaN
