%Previsao,VTMP-925,VTMP-850,VTMP-500,TEMP-850,TEMP-500,TEMP-250,PSNM-000,UMES-925,UMES-850,UMES-500,AGPL-925,ZGEO-850,ZGEO-500,ZGEO-250,UVEL-850,UVEL-500,UVEL-250,VVEL-850,VVEL-500,VVEL-250,PREC-000,PREV-000
072,    2.958,    3.149,    2.061,    3.101,    2.049,    2.343,    5.857,    1.392,    1.797,    0.736,    5.092,   42.195,   50.038,   61.264,    4.657,    5.497,    7.640,    4.603,    6.011,    8.133,      NaN,      NaN
072,    3.024,    3.160,    2.093,    3.109,    2.081,    2.330,    5.667,    1.401,    1.780,    0.738,    5.119,   40.720,   50.291,   62.120,    4.692,    5.696,    7.622,    4.402,    6.048,    8.176,      NaN,      NaN
072,    2.996,    3.116,    2.116,    3.067,    2.105,    2.323,    5.256,    1.432,    1.774,    0.751,    5.153,   37.167,   49.239,   62.838,    4.283,    5.544,    7.690,    4.010,    5.944,    8.245,      NaN,      NaN
072,    2.964,    3.072,    1.969,    3.024,    1.961,    2.181,    5.214,    1.463,    1.786,    0.733,    5.013,   36.538,   47.328,   59.276,    4.194,    5.356,    7.154,    3.833,    5.682,    7.823,      NaN,      NaN
072,    2.956,    3.107,    1.954,    3.056,    1.945,    2.148,    5.315,    1.463,    1.757,    0.718,    4.955,   38.147,   49.885,   60.967,    4.294,    5.534,    7.393,    3.860,    5.600,    7.751,      NaN,      NaN
072,    3.072,    3.151,    1.919,    3.098,    1.909,    2.100,    5.504,    1.445,    1.660,    0.706,    4.808,   40.023,   50.390,   61.625,    4.449,    5.551,    7.658,    4.019,    5.439,    7.611,      NaN,      NaN
072,    3.102,    3.238,    1.968,    3.186,    1.958,    2.073,    5.489,    1.464,    1.670,    0.720,    4.913,   39.247,   50.053,   62.550,    4.585,    5.680,    7.494,    4.101,    5.431,    7.388,      NaN,      NaN
072,    3.160,    3.161,    1.785,    3.110,    1.775,    1.982,    5.354,    1.426,    1.667,    0.701,    4.682,   36.891,   43.455,   53.769,    4.325,    5.238,    7.214,    3.898,    4.987,    7.144,      NaN,      NaN
072,    3.089,    3.120,    1.854,    3.063,    1.840,    2.039,    5.512,    1.390,    1.677,    0.722,    4.884,   38.061,   43.494,   53.567,    4.473,    5.119,    7.278,    4.008,    5.001,    7.492,      NaN,      NaN
072,    3.087,    3.071,    1.889,    3.011,    1.876,    2.013,    5.449,    1.387,    1.618,    0.706,    4.771,   37.260,   42.028,   52.708,    4.582,    5.154,    6.991,    4.175,    4.964,    7.142,      NaN,      NaN
072,    3.132,    3.129,    1.965,    3.067,    1.953,    2.045,    5.751,    1.391,    1.583,    0.703,    4.797,   39.207,   43.979,   54.240,    4.613,    5.216,    7.147,    4.357,    5.054,    7.000,      NaN,      NaN
072,    3.014,    3.067,    1.929,    3.014,    1.920,    2.082,    5.486,    1.400,    1.592,    0.696,    4.640,   37.108,   41.867,   50.668,    4.523,    5.059,    6.925,    4.273,    4.980,    6.839,      NaN,      NaN
072,    2.965,    3.013,    2.025,    2.963,    2.015,    2.124,    5.523,    1.385,    1.592,    0.703,    4.738,   37.813,   43.156,   53.396,    4.417,    5.036,    6.961,    4.233,    5.118,    7.051,      NaN,      NaN
072,    3.040,    2.950,    2.039,    2.900,    2.029,    2.089,    5.361,    1.437,    1.623,    0.704,    4.875,   37.543,   44.908,   55.703,    4.347,    5.065,    7.118,    4.081,    5.246,    7.436,      NaN,      NaN
072,    3.093,    2.986,    2.078,    2.939,    2.069,    2.138,    5.637,    1.453,    1.656,    0.705,    4.935,   39.825,   46.725,   58.181,    4.353,    5.166,    7.014,    4.122,    5.233,    7.422,      NaN,      NaN
072,    3.092,    2.983,    2.108,    2.935,    2.100,    2.121,    5.457,    1.444,    1.675,    0.703,    4.948,   38.004,   46.993,   59.001,    4.418,    5.303,    7.143,    3.995,    5.341,    7.650,      NaN,      NaN
072,    3.042,    3.040,    2.234,    2.990,    2.227,    2.079,    5.557,    1.408,    1.699,    0.709,    4.991,   39.029,   48.707,   63.346,    4.490,    5.470,    7.245,    4.078,    5.500,    7.817,      NaN,      NaN
072,    2.867,    2.919,    2.091,    2.879,    2.085,    2.107,    5.483,    1.395,    1.697,    0.714,    4.827,   38.417,   45.259,   58.581,    4.393,    5.354,    7.224,    3.964,    5.317,    7.684,      NaN,      NaN
072,    2.807,    2.907,    2.043,    2.867,    2.038,    2.164,    5.723,    1.395,    1.712,    0.713,    4.887,   39.382,   44.199,   54.925,    4.314,    5.200,    7.192,    4.058,    5.254,    7.407,      NaN,      NaN
072,    2.794,    2.850,    1.922,    2.808,    1.915,    2.156,    5.777,    1.393,    1.730,    0.700,    4.804,   39.935,   42.784,   52.322,    4.265,    4.923,    6.985,    4.042,    5.203,    7.102,      NaN,      NaN
072,    2.687,    2.724,    1.889,    2.691,    1.883,    2.105,    5.660,    1.349,    1.756,    0.706,    4.728,   39.989,   41.272,   50.786,    4.249,    4.825,    6.881,    4.000,    4.861,    6.762,      NaN,      NaN
072,    2.759,    2.733,    1.965,    2.694,    1.957,    2.159,    5.988,    1.386,    1.758,    0.689,    4.800,   41.962,   42.975,   51.826,    4.392,    4.919,    7.072,    4.092,    4.923,    6.711,      NaN,      NaN
072,    2.789,    2.839,    1.995,    2.792,    1.985,    2.103,    6.251,    1.375,    1.726,    0.696,    4.895,   42.974,   43.389,   53.646,    4.447,    4.871,    7.101,    4.299,    4.856,    6.888,      NaN,      NaN
072,    2.796,    2.889,    2.035,    2.837,    2.024,    2.118,    6.084,    1.395,    1.709,    0.703,    4.824,   42.089,   43.488,   54.671,    4.532,    4.937,    7.114,    4.242,    5.010,    7.012,      NaN,      NaN
072,    2.736,    2.866,    1.969,    2.821,    1.960,    2.032,    5.835,    1.352,    1.748,    0.697,    4.772,   40.671,   43.007,   53.492,    4.137,    4.774,    6.744,    4.079,    4.975,    6.698,      NaN,      NaN
072,    2.698,    2.871,    1.843,    2.824,    1.836,    2.055,    5.839,    1.372,    1.712,    0.689,    4.607,   40.713,   43.075,   50.197,    4.150,    4.847,    6.550,    4.123,    4.906,    6.451,      NaN,      NaN
072,    2.794,    2.972,    1.835,    2.923,    1.827,    2.047,    6.237,    1.362,    1.696,    0.708,    4.683,   43.248,   45.626,   52.008,    4.449,    5.084,    6.855,    4.227,    5.135,    6.762,      NaN,      NaN
072,    2.995,    3.185,    1.940,    3.136,    1.929,    2.191,    6.364,    1.429,    1.766,    0.698,    4.769,   44.086,   45.985,   52.880,    4.540,    5.222,    6.962,    4.357,    5.366,    7.218,      NaN,      NaN
072,    3.056,    3.194,    2.003,    3.146,    1.992,    2.237,    6.499,    1.407,    1.759,    0.701,    4.775,   45.293,   47.247,   53.749,    4.538,    5.397,    7.093,    4.403,    5.466,    7.369,      NaN,      NaN
072,    3.050,    3.133,    2.025,    3.086,    2.015,    2.210,    6.522,    1.431,    1.769,    0.699,    4.734,   45.383,   46.216,   52.293,    4.579,    5.443,    7.017,    4.468,    5.503,    7.097,      NaN,      NaN
072,    3.061,    3.127,    2.062,    3.081,    2.054,    2.214,    6.628,    1.446,    1.762,    0.732,    4.857,   46.037,   46.146,   52.721,    4.517,    5.375,    7.102,    4.407,    5.450,    7.280,      NaN,      NaN
072,    3.107,    3.191,    2.171,    3.143,    2.163,    2.201,    6.648,    1.458,    1.821,    0.741,    4.938,   46.565,   48.518,   57.019,    4.502,    5.328,    7.220,    4.519,    5.706,    7.655,      NaN,      NaN
072,    3.009,    3.140,    2.231,    3.092,    2.223,    2.139,    6.904,    1.476,    1.802,    0.736,    4.943,   48.412,   49.401,   58.562,    4.695,    5.296,    7.264,    4.507,    5.584,    7.725,      NaN,      NaN
072,    3.070,    3.183,    2.196,    3.138,    2.188,    2.164,    6.791,    1.484,    1.785,    0.740,    4.999,   47.723,   47.955,   58.696,    4.720,    5.371,    7.369,    4.517,    5.615,    7.812,      NaN,      NaN
072,    3.148,    3.251,    2.210,    3.203,    2.202,    2.207,    6.844,    1.479,    1.802,    0.755,    5.083,   47.856,   48.186,   58.942,    4.662,    5.362,    7.469,    4.535,    5.655,    7.960,      NaN,      NaN
072,    3.137,    3.233,    2.204,    3.191,    2.196,    2.174,    6.554,    1.474,    1.827,    0.741,    5.033,   44.958,   44.942,   56.842,    4.592,    5.278,    7.241,    4.347,    5.575,    7.745,      NaN,      NaN
072,    3.111,    3.340,    2.277,    3.301,    2.267,    2.223,    6.831,    1.466,    1.837,    0.743,    5.016,   47.215,   47.567,   59.065,    4.667,    5.367,    7.476,    4.486,    5.794,    7.961,      NaN,      NaN
072,    3.130,    3.321,    2.243,    3.279,    2.235,    2.208,    7.049,    1.457,    1.839,    0.723,    4.883,   47.913,   46.949,   56.938,    4.755,    5.410,    7.311,    4.330,    5.517,    7.411,      NaN,      NaN
072,    3.366,    3.523,    2.327,    3.477,    2.319,    2.281,    7.423,    1.460,    1.820,    0.744,    5.043,   49.752,   49.443,   60.001,    4.859,    5.633,    7.632,    4.501,    5.701,    7.514,      NaN,      NaN
072,    3.332,    3.522,    2.393,    3.472,    2.385,    2.227,    7.130,    1.487,    1.855,    0.729,    4.936,   47.721,   48.308,   58.860,    4.831,    5.653,    7.755,    4.427,    5.476,    7.486,      NaN,      NaN
072,    3.256,    3.454,    2.369,    3.412,    2.361,    2.178,    6.775,    1.470,    1.858,    0.725,    4.992,   45.100,   46.598,   56.870,    4.735,    5.551,    7.612,    4.383,    5.457,    7.532,      NaN,      NaN
072,    3.097,    3.333,    2.255,    3.293,    2.250,    2.061,    6.520,    1.477,    1.829,    0.737,    4.940,   42.313,   42.678,   53.458,    4.589,    5.106,    7.133,    4.068,    5.207,    7.373,      NaN,      NaN
072,    3.107,    3.353,    2.174,    3.311,    2.171,    2.025,    6.752,    1.465,    1.773,    0.753,    5.009,   42.663,   41.071,   51.063,    4.385,    4.935,    7.018,    3.944,    4.929,    7.159,      NaN,      NaN
072,    3.197,    3.451,    2.036,    3.404,    2.033,    2.007,    6.931,    1.459,    1.776,    0.754,    5.024,   44.309,   43.586,   52.331,    4.639,    5.181,    6.940,    4.064,    4.975,    6.919,      NaN,      NaN
072,    3.133,    3.385,    2.107,    3.339,    2.104,    2.031,    6.888,    1.462,    1.795,    0.777,    5.056,   44.749,   44.553,   54.697,    4.419,    5.234,    7.122,    4.168,    5.223,    7.235,      NaN,      NaN
072,    3.074,    3.342,    2.134,    3.292,    2.132,    2.001,    7.088,    1.507,    1.790,    0.774,    5.145,   47.049,   46.108,   57.767,    4.570,    5.252,    7.405,    4.037,    5.102,    7.248,      NaN,      NaN
072,    3.063,    3.352,    2.206,    3.302,    2.200,    2.122,    7.176,    1.491,    1.742,    0.778,    5.147,   48.401,   50.274,   62.479,    4.459,    5.335,    7.743,    4.222,    5.456,    7.618,      NaN,      NaN
